Wall time,Step,Value
1607162426.077561,2545,17.916460037231445
1607162495.117009,2549,12.612606048583984
1607162564.111003,2553,11.337175369262695
1607162598.580349,2555,16.940507888793945
1607162650.351276,2558,11.285343170166016
1607162805.604189,2567,15.77143669128418
1607162822.896785,2568,17.493295669555664
1607162995.366606,2578,15.854378700256348
1607163029.876264,2580,14.468148231506348
1607163236.757301,2592,13.26884651184082
1607163253.980949,2593,15.945524215698242
1607163271.216409,2594,13.71945858001709
1607163340.238789,2598,17.028858184814453
1607163409.270851,2602,11.690755844116211
1607163512.937674,2608,17.612632751464844
1607163530.183876,2609,16.197750091552734
1607163805.860389,2625,17.302898406982422
1607163857.515908,2628,9.171429634094238
1607163909.115082,2631,19.259653091430664
1607163926.352953,2632,20.804553985595703
1607164064.203201,2640,15.328433990478516
1607164167.520973,2646,17.96196746826172
1607164270.920099,2652,12.19714069366455
1607164357.103608,2657,12.14278793334961
1607164684.569104,2676,16.571029663085938
1607164753.396789,2680,24.445125579833984
1607164787.823663,2682,11.70039176940918
1607164873.945942,2687,21.44265365600586
1607164960.075928,2692,15.836386680603027
1607165185.162175,2705,29.991031646728516
1607165254.028692,2709,17.001256942749023
1607165305.786686,2712,16.11746597290039
1607165563.91038,2727,25.3309268951416
1607165753.350593,2738,26.879669189453125
1607165770.589775,2739,16.118452072143555
1607165822.252704,2742,19.094337463378906
1607165925.598596,2748,8.842690467834473
1607166046.024488,2755,20.362213134765625
1607166063.260559,2756,13.214025497436523
1607166080.439821,2757,19.256900787353516
1607166097.710442,2758,12.78331470489502
1607166114.911468,2759,15.938725471496582
1607166269.976854,2768,24.611785888671875
1607166666.146017,2791,13.946817398071289
1607166683.371586,2792,13.571232795715332
1607166700.586429,2793,15.787164688110352
1607166821.072543,2800,12.967924118041992
1607167010.53155,2811,17.167436599731445
1607167044.919843,2813,12.754210472106934
1607167251.756955,2825,16.543968200683594
1607167268.988198,2826,12.506004333496094
1607167320.721606,2829,16.21677017211914
1607167355.127602,2831,12.62532901763916
1607167372.326647,2832,18.672819137573242
1607167406.825314,2834,10.280298233032227
1607167734.116957,2853,12.576701164245605
1607167820.245763,2858,13.778093338012695
1607167871.930987,2861,9.052637100219727
1607167923.728635,2864,11.658363342285156
1607168078.714999,2873,15.036808013916016
1607168095.968551,2874,22.814682006835938
